Time, EPC, Power, TSSI, RSSI, Code, Temperature, Running Average, Times Read, Latitude, Longitude, Frequence,
4/16/2020 18:38, 51-09-18-11-16-00-1F-02-00-00-03-17,18,9,38,231,30.40550459,231,1,0,0,905250, 
4/16/2020 18:38, 51-09-18-11-16-00-1F-02-00-00-03-16,18,3,36,232,26.85714286,232,1,0,0,905250, 
4/16/2020 18:38, 51-09-18-11-16-00-1F-02-00-00-03-17,24,13,48,201,28.95003529,216,2,0,0,913250, 
4/16/2020 18:38, 51-09-18-11-16-00-1F-02-00-00-03-17,26,14,51,186,28.72791612,206,3,0,0,917250, 
4/16/2020 18:38, 51-09-18-11-16-00-1F-02-00-00-03-17,22,12,53,174,28.53541284,198,4,0,0,913250, 
4/16/2020 18:38, 51-09-18-11-16-00-1F-02-00-00-03-16,28,21,50,299,26.61607143,265.5,2,0,0,917750, 
4/16/2020 18:38, 51-09-18-11-16-00-1F-02-00-00-03-17,20,7,38,236,28.17172153,205.6,5,0,0,912750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,16,2,43,216,28.00550459,207.3333333,6,0,0,911750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,24,6,47,183,26.55885714,238,3,0,0,919750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,24,5,42,176,27.849831,202.8571429,7,0,0,919750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,18,3,54,215,26.55885714,232.25,4,0,0,921250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,16,6,51,216,26.51593407,229,5,0,0,921750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,24,16,52,226,27.849831,205.75,8,0,0,908250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,24,19,49,221,26.51593407,227.6666667,6,0,0,908250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,26,12,50,200,27.7493578,205.1111111,9,0,0,922750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,26,15,53,195,26.48095238,223,7,0,0,922750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,22,16,54,236,27.66474443,208.2,10,0,0,907750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,22,17,42,250,26.45765306,226.375,8,0,0,907750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,28,17,49,194,26.4226601,222.7777778,9,0,0,923250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,28,21,50,170,27.57581318,204.7272727,11,0,0,923250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,20,14,53,225,27.50610291,206.4166667,12,0,0,907250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,18,8,45,254,26.39677419,225.9,10,0,0,906750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,20,2,29,169,26.32142857,220.7272727,11,0,0,926250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,24,16,44,213,26.31853282,220.0833333,12,0,0,915250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,26,7,36,270,26.30902256,223.9230769,13,0,0,916250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,26,12,46,188,27.20865007,205,13,0,0,916250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,20,2,38,200,26.28178571,222.2142857,14,0,0,914750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,30,21,49,155,26.2738676,217.7333333,15,0,0,916750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,30,3,34,172,27.18424549,202.6428571,14,0,0,916750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,24,21,67,199,26.24857143,216.5625,16,0,0,918250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,22,21,56,81,26.26079027,208.5882353,17,0,0,918750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,22,20,55,73,27.27293578,194,15,0,0,918750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,20,18,56,76,27.29357798,186.625,16,0,0,919250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,20,19,56,81,26.26151603,201.5,18,0,0,919250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,18,16,57,79,27.29724771,180.2941176,17,0,0,919750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,18,16,56,82,26.25966387,195.2105263,19,0,0,919750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,16,12,56,90,26.26522911,189.95,20,0,0,920250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,16,13,56,74,27.30053114,174.3888889,18,0,0,920250, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-17,14,11,55,77,27.28680311,169.2631579,19,0,0,920750, 
4/16/2020 18:39, 51-09-18-11-16-00-1F-02-00-00-03-16,14,8,51,82,26.25714286,184.8095238,21,0,0,920750, 
